,index,Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
0,4,Emily Taylor,5.0,16,Computer Science,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2313447,0.8443529411764705
1,62,Ryan Lehan,4.8,7,Computer Science,1.0,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1582300,0.8185
2,18,Charles Frank,4.1,22,Computer Science,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/74555,0.8129565217391304
3,38,Gary Newell,5.0,49,Computer Science,0.9,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/46122,0.804
4,31,Kenneth Roth,4.9,14,Computer Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2068751,0.794
5,63,Nidhi Patel,4.0,5,Computer Science,0.8,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2534453,0.786
6,48,Hongmei Wang,4.1,17,Computer Science,1.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1219972,0.7733333333333333
7,52,Chris Brewer,5.0,5,Computer Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2725477,0.77
8,15,Maureen Doyle,4.5,19,Computer Science,1.0,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/899308,0.7689999999999999
9,66,Nicholas Caporusso,4.3,17,Computer Science,0.94,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2601655,0.7613333333333333
10,3,Jeff Ward,4.0,28,Computer Science,1.0,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/576170,0.7556551724137931
11,11,YI HU,4.3,12,Computer Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1150656,0.7549230769230769
12,10,Pak Kwan,4.8,3,Computer Science,0.0,1.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2030671,0.735
13,28,Jesse Hockenbury,4.5,2,Computer Science,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2251527,0.72
14,24,Michael Sweikata,4.7,4,Computer Science,1.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1887161,0.7120000000000001
15,17,Alex Kuhl,4.1,10,Computer Science,1.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1519735,0.7087272727272727
16,30,John Musgrave,3.4,13,Computer Science,0.64,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2618609,0.7085714285714286
17,12,Richard Fox,4.1,39,Computer Science,0.91,3.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/309955,0.7015
